gene	pathway	pathway_name
BSGatlas-gene-1305	ko01100	Metabolic pathways
BSGatlas-gene-1305	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1305	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1306	ko00680	Methane metabolism
BSGatlas-gene-1306	ko01100	Metabolic pathways
BSGatlas-gene-1306	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1306	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1312	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1312	ko00450	Selenocompound metabolism
BSGatlas-gene-1312	ko00670	One carbon pool by folate
BSGatlas-gene-1312	ko01100	Metabolic pathways
BSGatlas-gene-1312	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1312	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1312	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1322	ko02024	Quorum sensing
BSGatlas-gene-1327	ko00740	Riboflavin metabolism
BSGatlas-gene-1327	ko01100	Metabolic pathways
BSGatlas-gene-1327	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1327	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1332	ko00220	Arginine biosynthesis
BSGatlas-gene-1332	ko01100	Metabolic pathways
BSGatlas-gene-1332	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1332	ko01210	2-Oxocarboxylic acid metabolism
BSGatlas-gene-1332	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1333	ko00220	Arginine biosynthesis
BSGatlas-gene-1333	ko01100	Metabolic pathways
BSGatlas-gene-1333	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1333	ko01210	2-Oxocarboxylic acid metabolism
BSGatlas-gene-1333	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1334	ko00220	Arginine biosynthesis
BSGatlas-gene-1334	ko01100	Metabolic pathways
BSGatlas-gene-1334	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1334	ko01210	2-Oxocarboxylic acid metabolism
BSGatlas-gene-1334	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1335	ko00220	Arginine biosynthesis
BSGatlas-gene-1335	ko00300	Lysine biosynthesis
BSGatlas-gene-1335	ko01100	Metabolic pathways
BSGatlas-gene-1335	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1335	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1335	ko01210	2-Oxocarboxylic acid metabolism
BSGatlas-gene-1335	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1336	ko00240	Pyrimidine metabolism
BSGatlas-gene-1336	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-1336	ko01100	Metabolic pathways
BSGatlas-gene-1336	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1337	ko00240	Pyrimidine metabolism
BSGatlas-gene-1337	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-1337	ko01100	Metabolic pathways
BSGatlas-gene-1337	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1338	ko00220	Arginine biosynthesis
BSGatlas-gene-1338	ko01100	Metabolic pathways
BSGatlas-gene-1338	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1338	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1347	ko00061	Fatty acid biosynthesis
BSGatlas-gene-1347	ko01100	Metabolic pathways
BSGatlas-gene-1347	ko01212	Fatty acid metabolism
BSGatlas-gene-1348	ko00061	Fatty acid biosynthesis
BSGatlas-gene-1348	ko00780	Biotin metabolism
BSGatlas-gene-1348	ko01100	Metabolic pathways
BSGatlas-gene-1348	ko01212	Fatty acid metabolism
BSGatlas-gene-1348	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1350	ko02024	Quorum sensing
BSGatlas-gene-1351	ko02024	Quorum sensing
BSGatlas-gene-1354	ko02024	Quorum sensing
BSGatlas-gene-1355	ko02024	Quorum sensing
BSGatlas-gene-1357	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-1360	ko01501	beta-Lactam resistance
BSGatlas-gene-1360	ko02010	ABC transporters
BSGatlas-gene-1360	ko02024	Quorum sensing
BSGatlas-gene-1361	ko01501	beta-Lactam resistance
BSGatlas-gene-1361	ko02010	ABC transporters
BSGatlas-gene-1361	ko02024	Quorum sensing
BSGatlas-gene-1362	ko01501	beta-Lactam resistance
BSGatlas-gene-1362	ko02010	ABC transporters
BSGatlas-gene-1362	ko02024	Quorum sensing
BSGatlas-gene-1363	ko01501	beta-Lactam resistance
BSGatlas-gene-1363	ko02010	ABC transporters
BSGatlas-gene-1363	ko02024	Quorum sensing
BSGatlas-gene-1364	ko01501	beta-Lactam resistance
BSGatlas-gene-1364	ko02010	ABC transporters
BSGatlas-gene-1364	ko02024	Quorum sensing
BSGatlas-gene-1382	ko00230	Purine metabolism
BSGatlas-gene-1382	ko01100	Metabolic pathways
BSGatlas-gene-1383	ko00760	Nicotinate and nicotinamide metabolism
BSGatlas-gene-1383	ko01100	Metabolic pathways
BSGatlas-gene-1383	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1388	ko00730	Thiamine metabolism
BSGatlas-gene-1388	ko01100	Metabolic pathways
BSGatlas-gene-1388	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1389	ko00730	Thiamine metabolism
BSGatlas-gene-1389	ko01100	Metabolic pathways
BSGatlas-gene-1389	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1390	ko00730	Thiamine metabolism
BSGatlas-gene-1390	ko01100	Metabolic pathways
BSGatlas-gene-1390	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1391	ko04122	Sulfur relay system
BSGatlas-gene-1392	ko00730	Thiamine metabolism
BSGatlas-gene-1392	ko01100	Metabolic pathways
BSGatlas-gene-1392	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1393	ko00730	Thiamine metabolism
BSGatlas-gene-1393	ko01100	Metabolic pathways
BSGatlas-gene-1393	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1393	ko04122	Sulfur relay system
BSGatlas-gene-1394	ko00730	Thiamine metabolism
BSGatlas-gene-1394	ko01100	Metabolic pathways
BSGatlas-gene-1394	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1395	ko00061	Fatty acid biosynthesis
BSGatlas-gene-1395	ko00780	Biotin metabolism
BSGatlas-gene-1395	ko01100	Metabolic pathways
BSGatlas-gene-1395	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1395	ko01212	Fatty acid metabolism
BSGatlas-gene-1395	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1409	ko03420	Nucleotide excision repair
BSGatlas-gene-1409	ko03430	Mismatch repair
BSGatlas-gene-1415	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1415	ko00450	Selenocompound metabolism
BSGatlas-gene-1415	ko00920	Sulfur metabolism
BSGatlas-gene-1415	ko01100	Metabolic pathways
BSGatlas-gene-1415	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1415	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1416	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1416	ko00450	Selenocompound metabolism
BSGatlas-gene-1416	ko01100	Metabolic pathways
BSGatlas-gene-1416	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1416	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1419	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-1432	ko00051	Fructose and mannose metabolism
BSGatlas-gene-1432	ko01100	Metabolic pathways
BSGatlas-gene-1432	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1432	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-1433	ko00051	Fructose and mannose metabolism
BSGatlas-gene-1433	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-1433	ko00541	O-Antigen nucleotide sugar biosynthesis
BSGatlas-gene-1433	ko01100	Metabolic pathways
BSGatlas-gene-1433	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1433	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1442	ko00190	Oxidative phosphorylation
BSGatlas-gene-1442	ko00860	Porphyrin and chlorophyll metabolism
BSGatlas-gene-1442	ko01100	Metabolic pathways
BSGatlas-gene-1442	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1442	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1451	ko00630	Glyoxylate and dicarboxylate metabolism
BSGatlas-gene-1451	ko00680	Methane metabolism
BSGatlas-gene-1451	ko01100	Metabolic pathways
BSGatlas-gene-1451	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1451	ko01200	Carbon metabolism
BSGatlas-gene-1459	ko00860	Porphyrin and chlorophyll metabolism
BSGatlas-gene-1459	ko01100	Metabolic pathways
BSGatlas-gene-1459	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1459	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1459	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1465	ko00190	Oxidative phosphorylation
BSGatlas-gene-1466	ko00040	Pentose and glucuronate interconversions
BSGatlas-gene-1466	ko01100	Metabolic pathways
BSGatlas-gene-1470	ko00040	Pentose and glucuronate interconversions
BSGatlas-gene-1470	ko01100	Metabolic pathways
BSGatlas-gene-1474	ko00040	Pentose and glucuronate interconversions
BSGatlas-gene-1474	ko01100	Metabolic pathways
BSGatlas-gene-1475	ko00040	Pentose and glucuronate interconversions
BSGatlas-gene-1475	ko01100	Metabolic pathways
BSGatlas-gene-1479	ko02024	Quorum sensing
BSGatlas-gene-1480	ko02024	Quorum sensing
BSGatlas-gene-1535	ko01503	Cationic antimicrobial peptide (CAMP) resistance
BSGatlas-gene-1535	ko02020	Two-component system
BSGatlas-gene-1536	ko00330	Arginine and proline metabolism
BSGatlas-gene-1536	ko01100	Metabolic pathways
BSGatlas-gene-1536	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1536	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1538	ko02010	ABC transporters
BSGatlas-gene-1539	ko02010	ABC transporters
BSGatlas-gene-1540	ko02010	ABC transporters
BSGatlas-gene-1541	ko02010	ABC transporters
BSGatlas-gene-1545	ko02024	Quorum sensing
BSGatlas-gene-1546	ko00030	Pentose phosphate pathway
BSGatlas-gene-1546	ko01100	Metabolic pathways
BSGatlas-gene-1546	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1546	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1546	ko01200	Carbon metabolism
BSGatlas-gene-1557	ko00630	Glyoxylate and dicarboxylate metabolism
BSGatlas-gene-1557	ko00670	One carbon pool by folate
BSGatlas-gene-1559	ko00330	Arginine and proline metabolism
BSGatlas-gene-1559	ko00332	Carbapenem biosynthesis
BSGatlas-gene-1559	ko01100	Metabolic pathways
BSGatlas-gene-1559	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1559	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1560	ko00330	Arginine and proline metabolism
BSGatlas-gene-1560	ko00332	Carbapenem biosynthesis
BSGatlas-gene-1560	ko01100	Metabolic pathways
BSGatlas-gene-1560	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1560	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1565	ko00230	Purine metabolism
BSGatlas-gene-1565	ko01100	Metabolic pathways
BSGatlas-gene-1566	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1566	ko00450	Selenocompound metabolism
BSGatlas-gene-1566	ko01100	Metabolic pathways
BSGatlas-gene-1566	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1566	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1570	ko02010	ABC transporters
BSGatlas-gene-1591	ko03450	Non-homologous end-joining
BSGatlas-gene-1592	ko03450	Non-homologous end-joining
BSGatlas-gene-1606	ko02020	Two-component system
BSGatlas-gene-1609	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1609	ko01100	Metabolic pathways
BSGatlas-gene-1610	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1610	ko01100	Metabolic pathways
BSGatlas-gene-1612	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-1612	ko01100	Metabolic pathways
BSGatlas-gene-1613	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1613	ko01100	Metabolic pathways
BSGatlas-gene-1615	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1615	ko01100	Metabolic pathways
BSGatlas-gene-1616	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1616	ko01100	Metabolic pathways
BSGatlas-gene-1617	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1617	ko01100	Metabolic pathways
BSGatlas-gene-1618	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1618	ko01100	Metabolic pathways
BSGatlas-gene-1622	ko02020	Two-component system
BSGatlas-gene-1624	ko02030	Bacterial chemotaxis
BSGatlas-gene-1624	ko02040	Flagellar assembly
BSGatlas-gene-1625	ko02020	Two-component system
BSGatlas-gene-1625	ko02030	Bacterial chemotaxis
BSGatlas-gene-1625	ko02040	Flagellar assembly
BSGatlas-gene-1629	ko00790	Folate biosynthesis
BSGatlas-gene-1629	ko01100	Metabolic pathways
BSGatlas-gene-1630	ko00790	Folate biosynthesis
BSGatlas-gene-1630	ko01100	Metabolic pathways
BSGatlas-gene-1630	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1631	ko00790	Folate biosynthesis
BSGatlas-gene-1631	ko01100	Metabolic pathways
BSGatlas-gene-1632	ko00790	Folate biosynthesis
BSGatlas-gene-1632	ko01100	Metabolic pathways
BSGatlas-gene-1654	ko00010	Glycolysis / Gluconeogenesis
BSGatlas-gene-1654	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-1654	ko01100	Metabolic pathways
BSGatlas-gene-1654	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-1655	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-1656	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-1660	ko02020	Two-component system
BSGatlas-gene-1660	ko02030	Bacterial chemotaxis
BSGatlas-gene-1664	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-1665	ko02020	Two-component system
BSGatlas-gene-1666	ko00300	Lysine biosynthesis
BSGatlas-gene-1666	ko01100	Metabolic pathways
BSGatlas-gene-1666	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1666	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1668	ko02020	Two-component system
BSGatlas-gene-1668	ko02030	Bacterial chemotaxis
BSGatlas-gene-1687	ko00300	Lysine biosynthesis
BSGatlas-gene-1687	ko01100	Metabolic pathways
BSGatlas-gene-1687	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1687	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1688	ko00300	Lysine biosynthesis
BSGatlas-gene-1688	ko01100	Metabolic pathways
BSGatlas-gene-1688	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1688	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1695	ko00790	Folate biosynthesis
BSGatlas-gene-1695	ko01100	Metabolic pathways
BSGatlas-gene-1696	ko04122	Sulfur relay system
BSGatlas-gene-1697	ko00790	Folate biosynthesis
BSGatlas-gene-1697	ko01100	Metabolic pathways
BSGatlas-gene-1697	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1699	ko00790	Folate biosynthesis
BSGatlas-gene-1699	ko01100	Metabolic pathways
BSGatlas-gene-1699	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1699	ko04122	Sulfur relay system
BSGatlas-gene-1700	ko04122	Sulfur relay system
BSGatlas-gene-1708	ko00051	Fructose and mannose metabolism
BSGatlas-gene-1708	ko01100	Metabolic pathways
BSGatlas-gene-1708	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-1709	ko00051	Fructose and mannose metabolism
BSGatlas-gene-1709	ko01100	Metabolic pathways
BSGatlas-gene-1709	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1709	ko02060	Phosphotransferase system (PTS)
BSGatlas-gene-1710	ko03060	Protein export
BSGatlas-gene-1713	ko00770	Pantothenate and CoA biosynthesis
BSGatlas-gene-1713	ko01100	Metabolic pathways
BSGatlas-gene-1713	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1713	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1719	ko02020	Two-component system
BSGatlas-gene-1722	ko00230	Purine metabolism
BSGatlas-gene-1722	ko01100	Metabolic pathways
BSGatlas-gene-1723	ko03018	RNA degradation
BSGatlas-gene-1730	ko00010	Glycolysis / Gluconeogenesis
BSGatlas-gene-1730	ko00020	Citrate cycle (TCA cycle)
BSGatlas-gene-1730	ko00620	Pyruvate metabolism
BSGatlas-gene-1730	ko01100	Metabolic pathways
BSGatlas-gene-1730	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1730	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1730	ko01200	Carbon metabolism
BSGatlas-gene-1731	ko00010	Glycolysis / Gluconeogenesis
BSGatlas-gene-1731	ko00020	Citrate cycle (TCA cycle)
BSGatlas-gene-1731	ko00620	Pyruvate metabolism
BSGatlas-gene-1731	ko01100	Metabolic pathways
BSGatlas-gene-1731	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1731	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1731	ko01200	Carbon metabolism
BSGatlas-gene-1732	ko00010	Glycolysis / Gluconeogenesis
BSGatlas-gene-1732	ko00020	Citrate cycle (TCA cycle)
BSGatlas-gene-1732	ko00620	Pyruvate metabolism
BSGatlas-gene-1732	ko01100	Metabolic pathways
BSGatlas-gene-1732	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1732	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1732	ko01200	Carbon metabolism
BSGatlas-gene-1733	ko00010	Glycolysis / Gluconeogenesis
BSGatlas-gene-1733	ko00020	Citrate cycle (TCA cycle)
BSGatlas-gene-1733	ko00260	Glycine, serine and threonine metabolism
BSGatlas-gene-1733	ko00280	Valine, leucine and isoleucine degradation
BSGatlas-gene-1733	ko00310	Lysine degradation
BSGatlas-gene-1733	ko00380	Tryptophan metabolism
BSGatlas-gene-1733	ko00620	Pyruvate metabolism
BSGatlas-gene-1733	ko00630	Glyoxylate and dicarboxylate metabolism
BSGatlas-gene-1733	ko00640	Propanoate metabolism
BSGatlas-gene-1733	ko01100	Metabolic pathways
BSGatlas-gene-1733	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1733	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1733	ko01200	Carbon metabolism
BSGatlas-gene-1733	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1737	ko00330	Arginine and proline metabolism
BSGatlas-gene-1737	ko01100	Metabolic pathways
BSGatlas-gene-1741	ko00521	Streptomycin biosynthesis
BSGatlas-gene-1741	ko00562	Inositol phosphate metabolism
BSGatlas-gene-1741	ko01100	Metabolic pathways
BSGatlas-gene-1741	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1757	ko00220	Arginine biosynthesis
BSGatlas-gene-1757	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-1757	ko00471	D-Glutamine and D-glutamate metabolism
BSGatlas-gene-1757	ko01100	Metabolic pathways
BSGatlas-gene-1757	ko02020	Two-component system
BSGatlas-gene-1760	ko00020	Citrate cycle (TCA cycle)
BSGatlas-gene-1760	ko00620	Pyruvate metabolism
BSGatlas-gene-1760	ko01100	Metabolic pathways
BSGatlas-gene-1760	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1760	ko01200	Carbon metabolism
BSGatlas-gene-1760	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1761	ko00190	Oxidative phosphorylation
BSGatlas-gene-1761	ko00860	Porphyrin and chlorophyll metabolism
BSGatlas-gene-1761	ko01100	Metabolic pathways
BSGatlas-gene-1761	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1761	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1761	ko02020	Two-component system
BSGatlas-gene-1762	ko00190	Oxidative phosphorylation
BSGatlas-gene-1762	ko00860	Porphyrin and chlorophyll metabolism
BSGatlas-gene-1762	ko01100	Metabolic pathways
BSGatlas-gene-1762	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1762	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1763	ko00190	Oxidative phosphorylation
BSGatlas-gene-1763	ko01100	Metabolic pathways
BSGatlas-gene-1764	ko00190	Oxidative phosphorylation
BSGatlas-gene-1764	ko01100	Metabolic pathways
BSGatlas-gene-1765	ko00190	Oxidative phosphorylation
BSGatlas-gene-1765	ko01100	Metabolic pathways
BSGatlas-gene-1766	ko00190	Oxidative phosphorylation
BSGatlas-gene-1766	ko01100	Metabolic pathways
BSGatlas-gene-1778	ko00770	Pantothenate and CoA biosynthesis
BSGatlas-gene-1778	ko01100	Metabolic pathways
BSGatlas-gene-1778	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1785	ko03010	Ribosome
BSGatlas-gene-1788	ko00770	Pantothenate and CoA biosynthesis
BSGatlas-gene-1788	ko01100	Metabolic pathways
BSGatlas-gene-1788	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1788	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1794	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-1795	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-1796	ko00300	Lysine biosynthesis
BSGatlas-gene-1796	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-1796	ko01100	Metabolic pathways
BSGatlas-gene-1797	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-1797	ko01100	Metabolic pathways
BSGatlas-gene-1797	ko01502	Vancomycin resistance
BSGatlas-gene-1798	ko00471	D-Glutamine and D-glutamate metabolism
BSGatlas-gene-1798	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-1798	ko01100	Metabolic pathways
BSGatlas-gene-1800	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-1800	ko01100	Metabolic pathways
BSGatlas-gene-1800	ko01502	Vancomycin resistance
BSGatlas-gene-1801	ko00520	Amino sugar and nucleotide sugar metabolism
BSGatlas-gene-1801	ko00550	Peptidoglycan biosynthesis
BSGatlas-gene-1801	ko01100	Metabolic pathways
BSGatlas-gene-1816	ko00730	Thiamine metabolism
BSGatlas-gene-1816	ko01100	Metabolic pathways
BSGatlas-gene-1825	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-1827	ko03060	Protein export
BSGatlas-gene-1830	ko00240	Pyrimidine metabolism
BSGatlas-gene-1830	ko01100	Metabolic pathways
BSGatlas-gene-1834	ko00240	Pyrimidine metabolism
BSGatlas-gene-1834	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-1834	ko01100	Metabolic pathways
BSGatlas-gene-1834	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1835	ko00240	Pyrimidine metabolism
BSGatlas-gene-1835	ko01100	Metabolic pathways
BSGatlas-gene-1835	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1836	ko00240	Pyrimidine metabolism
BSGatlas-gene-1836	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-1836	ko01100	Metabolic pathways
BSGatlas-gene-1836	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1837	ko00240	Pyrimidine metabolism
BSGatlas-gene-1837	ko00250	Alanine, aspartate and glutamate metabolism
BSGatlas-gene-1837	ko01100	Metabolic pathways
BSGatlas-gene-1837	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1838	ko00240	Pyrimidine metabolism
BSGatlas-gene-1838	ko01100	Metabolic pathways
BSGatlas-gene-1838	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1839	ko00240	Pyrimidine metabolism
BSGatlas-gene-1839	ko01100	Metabolic pathways
BSGatlas-gene-1839	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1840	ko00240	Pyrimidine metabolism
BSGatlas-gene-1840	ko01100	Metabolic pathways
BSGatlas-gene-1840	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1841	ko00240	Pyrimidine metabolism
BSGatlas-gene-1841	ko01100	Metabolic pathways
BSGatlas-gene-1841	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1843	ko00920	Sulfur metabolism
BSGatlas-gene-1843	ko01100	Metabolic pathways
BSGatlas-gene-1843	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1845	ko00230	Purine metabolism
BSGatlas-gene-1845	ko00261	Monobactam biosynthesis
BSGatlas-gene-1845	ko00450	Selenocompound metabolism
BSGatlas-gene-1845	ko00920	Sulfur metabolism
BSGatlas-gene-1845	ko01100	Metabolic pathways
BSGatlas-gene-1845	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1845	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1846	ko00230	Purine metabolism
BSGatlas-gene-1846	ko00920	Sulfur metabolism
BSGatlas-gene-1846	ko01100	Metabolic pathways
BSGatlas-gene-1846	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1847	ko00860	Porphyrin and chlorophyll metabolism
BSGatlas-gene-1847	ko01100	Metabolic pathways
BSGatlas-gene-1847	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1847	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1847	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1848	ko00860	Porphyrin and chlorophyll metabolism
BSGatlas-gene-1848	ko01100	Metabolic pathways
BSGatlas-gene-1848	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1848	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1849	ko00860	Porphyrin and chlorophyll metabolism
BSGatlas-gene-1849	ko01100	Metabolic pathways
BSGatlas-gene-1849	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1849	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1849	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1854	ko00230	Purine metabolism
BSGatlas-gene-1854	ko01100	Metabolic pathways
BSGatlas-gene-1855	ko03020	RNA polymerase
BSGatlas-gene-1856	ko00770	Pantothenate and CoA biosynthesis
BSGatlas-gene-1856	ko01100	Metabolic pathways
BSGatlas-gene-1856	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1858	ko03440	Homologous recombination
BSGatlas-gene-1860	ko00670	One carbon pool by folate
BSGatlas-gene-1860	ko00970	Aminoacyl-tRNA biosynthesis
BSGatlas-gene-1865	ko00730	Thiamine metabolism
BSGatlas-gene-1865	ko01100	Metabolic pathways
BSGatlas-gene-1866	ko00030	Pentose phosphate pathway
BSGatlas-gene-1866	ko00040	Pentose and glucuronate interconversions
BSGatlas-gene-1866	ko01100	Metabolic pathways
BSGatlas-gene-1866	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1866	ko01120	Microbial metabolism in diverse environments
BSGatlas-gene-1866	ko01200	Carbon metabolism
BSGatlas-gene-1866	ko01230	Biosynthesis of amino acids
BSGatlas-gene-1867	ko00730	Thiamine metabolism
BSGatlas-gene-1867	ko01100	Metabolic pathways
BSGatlas-gene-1867	ko01240	Biosynthesis of cofactors
BSGatlas-gene-1869	ko03010	Ribosome
BSGatlas-gene-1872	ko00260	Glycine, serine and threonine metabolism
BSGatlas-gene-1872	ko00270	Cysteine and methionine metabolism
BSGatlas-gene-1872	ko01100	Metabolic pathways
BSGatlas-gene-1872	ko01110	Biosynthesis of secondary metabolites
BSGatlas-gene-1872	ko01200	Carbon metabolism
