BSGatlas-gene-4272 5-ureB-sRNA
BSGatlas-gene-2332 "maturation of the outermost layer of the spore"
BSGatlas-gene-2336 "maturation of the outermost layer of the spore"
BSGatlas-gene-2334 "maturation of the outermost layer of the spore"
BSGatlas-gene-2333 "maturation of the outermost layer of the spore"
BSGatlas-gene-2306 "may be involved in protection against methyl-hydroquinone"
BSGatlas-gene-675 "may be involved in protection against methyl-hydroquinone"
BSGatlas-gene-3898 "may be involved in response to acid stress"
BSGatlas-gene-263 "may be involved in spore killing"
BSGatlas-gene-2084 "may be involved in the stress response of <i>B. subtilis</i> to chalcone-like flavonoids released by plants due to a pathogen infection"
BSGatlas-gene-1784 "may be required for accumulation of 23S rRNA"
BSGatlas-gene-80 "may function in a previously observed alternate pathway for peptidoglycan strand synthesis"
BSGatlas-gene-3883 "maybe involved in resistance to bacitracin"
BSGatlas-gene-1931 "MCP-glutamate methylesterase / two-component response regulator-like"
BSGatlas-gene-2671 "MCPs methyltransferase"
BSGatlas-gene-2754 "mechanosensitive channel, essential for the uptake of the 1:1 chelate of pyridine-2,6-dicarboxylic acid (DPA(2,6)) and Ca(2 ) into developing spores, required for spore maturation"
BSGatlas-gene-1166 "mechanosensitive channel, similar to MscS"
BSGatlas-gene-963 "mechanosensitive channel, similar to MscS"
BSGatlas-gene-1690 "mechanosensitive channel, similar to MscS, general stress protein"
BSGatlas-gene-3247 "mediates post-transcriptional control of [[gene|788725411B2E741103603373E43441FD036E1BA0|comE]] operon expression"
BSGatlas-gene-2958 "mediator of [[protein|A44D4677FB70BE8F554BF1001A500F817C7DA95F]] binding to ssDNA, required for the formation of [[protein|A44D4677FB70BE8F554BF1001A500F817C7DA95F]] DNA repair centers, required for efficient survival and replication restart after replication-transcription conflicts"
BSGatlas-gene-779 "member of the [[regulon|7F340423A34CE40D1F1AA8D373F7C4B859A6496D]]"
BSGatlas-gene-3742 "membrane [[protein|FtsK]]/[[protein|125325B485FBC60798EDA4B4BFB24C6FCBC4C513]]-like ATPase, part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]]"
BSGatlas-gene-2994 "membrane DNA receptor, plays an important role in the transfer of transforming DNA into the DNA channel and in controlling the rate of DNA uptake"
BSGatlas-gene-3795 "membrane fission protein, mediates membrane fission during sporulation"
BSGatlas-gene-4661 "membrane protease, processing of modified [[protein|D66B9BFF79ADD8B0F9BFA3892FCF4597264CE9EE]]"
BSGatlas-gene-3760 "membrane protein"
BSGatlas-gene-4638 "membrane protein"
BSGatlas-gene-2107 "membrane protein"
BSGatlas-gene-2878 "membrane protein"
BSGatlas-gene-4713 "membrane protein, may be involved in manganese detoxification"
BSGatlas-gene-1596 "membrane protein, may be involved in manganese detoxification"
BSGatlas-gene-3739 "membrane protein, part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]]"
BSGatlas-gene-3741 "membrane protein, part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]], receptor for phage SPPI"
BSGatlas-gene-3956 "membrane protein, required for [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin maturation"
BSGatlas-gene-3218 "membrane protein, similar to coordinator of zonal elongation, may control [[category|SW 1.1.1]] by the [[category|SW 1.1.1.7]]"
BSGatlas-gene-3734 "membrane protein, similar to coordinator of zonal elongation, may control [SW|cell wall synthesis ]by the [SW|penicillin-binding proteins]"
BSGatlas-gene-3661 "membrane protein, similar to coordinator of zonal elongation, may control [SW|cell wall synthesis ]by the [SW|penicillin-binding proteins]"
BSGatlas-gene-3744 "membrane pseudokinase-like protein, part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]]"
BSGatlas-gene-1535 "membrane-anchored protein quality control protease, serine protease Do"
BSGatlas-gene-3870 "membrane-anchored protein quality control protease, serine protease, response to secretion and heat stresses"
BSGatlas-gene-4139 "membrane-associated DNA-dependent ATPase, may provide energy for DNA transport"
BSGatlas-gene-426 "membrane-associated nuclease, catalyzes DNA cleavage during transformation"
BSGatlas-gene-3643 "membrane-associated scaffold protein, orchestration of physiological processes in lipid microdomains, involved in the control of membrane fluidity, confers (together with [[protein|FFBB9B236B7D532D45FE0593B793E28E051BE7A2]]) resistance to cefuroxime"
BSGatlas-gene-1660 "membrane-bound chemotaxis receptor for proline, methyl-accepting chemotaxis protein"
BSGatlas-gene-3670 "membrane-bound chemotaxis receptor, methyl-accepting chemotaxis protein"
BSGatlas-gene-427 "membrane-bound chemotaxis receptor, methyl-accepting chemotaxis protein"
BSGatlas-gene-3668 "membrane-bound chemotaxis receptor, methyl-accepting chemotaxis protein"
BSGatlas-gene-3669 "membrane-bound chemotaxis receptor, methyl-accepting chemotaxis protein"
BSGatlas-gene-3671 "membrane-bound chemotaxis receptor, methyl-accepting chemotaxis protein, receptor for asparagine"
BSGatlas-gene-2188 "membrane-bound chemotaxis receptor, similar to methyl-accepting chemotaxis protein"
BSGatlas-gene-3947 "membrane-bound chemotaxis receptor, similar to methyl-accepting chemotaxis protein"
BSGatlas-gene-2109 "membrane-embedded thiol-disulfide oxidoreductase"
BSGatlas-gene-3681 "membrane-integrating protein for membrane protein expression, MISTIC"
BSGatlas-gene-2653 "menaquinol:cytochrome c oxidoreductase (cytochrome b subunit), component of the cytochrome bc complex"
BSGatlas-gene-2652 "menaquinol:cytochrome c oxidoreductase (cytochrome b/c subunit), component of the cytochrome bc complex"
BSGatlas-gene-2674 "menaquinone biosynthesis methyltransferase"
BSGatlas-gene-3598 "menaquinone-specific isochorismate synthase"
BSGatlas-gene-2617 "metal-dependent exonuclease, part of a novel nucleotide excision repair pathway"
BSGatlas-gene-1964 "metallopeptidase, involved in regulation of protease gene expression"
BSGatlas-gene-3842 "methionine [SW|ABC transporter ](ATP-binding protein)"
BSGatlas-gene-3840 "methionine [SW|ABC transporter] (binding lipoprotein)"
BSGatlas-gene-3841 "methionine [SW|ABC transporter], permease"
BSGatlas-gene-183 "methionine aminopeptidase"
BSGatlas-gene-938 "methionine aminopeptidase"
BSGatlas-gene-1566 "methionine synthase"
BSGatlas-gene-1860 "methionyl-tRNA formyltransferase"
BSGatlas-gene-59 "methionyl-tRNA synthetase"
BSGatlas-gene-2146 "methylcrotonoyl-CoA carboxylase"
BSGatlas-gene-2142 "methylcrotonoyl-CoA carboxylase, subunit"
BSGatlas-gene-2855 "methylenetetrahydrofolate dehydrogenase (NADP)"
BSGatlas-gene-4378 "methylenomycin A resistance protein"
BSGatlas-gene-2143 "methylglutaconyl-CoA hydratase"
BSGatlas-gene-2646 "methylglyoxal synthase"
BSGatlas-gene-2832 "methylisocitrate lyase"
BSGatlas-gene-4617 "methylmalonate-semialdehyde dehydrogenase (acylating)"
BSGatlas-gene-3201 "methylthioadenosine nucleosidase"
BSGatlas-gene-901 "methylthioribose transporter"
BSGatlas-gene-1617 "methylthioribulose-1-phosphate dehydratase"
BSGatlas-gene-2596 "methyltransferase, involved in polyketide synthesis"
BSGatlas-gene-929 "Mg<sup>2+</sup>-citrate transporter"
BSGatlas-gene-4334 "minor cardiolipin synthetase"
BSGatlas-gene-4340 "minor cardiolipin synthetase, general stress protein, required for protection against paraquat stress"
BSGatlas-gene-1146 "minor citrate synthase"
BSGatlas-gene-4431 "minor extracellular serine protease"
BSGatlas-gene-4463 "minor extracellular serine protease, involved in control of swarming motility {{PubMed|19416356}}"
BSGatlas-gene-968 "minor magnesium transporter"
BSGatlas-gene-3662 "minor NADP-dependent scyllo-inositol dehydrogenase"
BSGatlas-gene-3660 "minor undecaprenyl pyrophosphate phosphatase"
BSGatlas-gene-2317 "minor undecaprenyl pyrophosphate phosphatase, not active under standard conditions"
BSGatlas-gene-1672 "Mn/ Zn-dependent phosphatase"
BSGatlas-gene-2575 "Mn<sup>2+</sup>-dependent pyrophosphohydrolase, hydrolyzes (deoxy)ribonucleoside triphosphate [(d)NTP] to (deoxy)ribonucleoside monophosphate and pyrophosphate"
BSGatlas-gene-4159 "modifier protein of major autolysin [[protein|6A21293823151C6980BF52B31A4B249A8440F2E1]]"
BSGatlas-gene-1703 "modulates assembly of the YknX-YknY-YknZ ABC transporter for the export of the SdpC toxin"
BSGatlas-gene-1933 "modulation of [[protein|6B3B222E56BF0C95A2371CA5208B5522B44D4689]] activity in response to attractants, scaffold protein"
BSGatlas-gene-1668 "modulation of CheA activity in response to attractants"
BSGatlas-gene-2952 "Modulator of [[protein|2234D81F8F9B92EAF1CF6F73BEC92D4DE54E2636]] activity"
BSGatlas-gene-1826 "modulator of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-containing [SW|RNA polymerase]"
BSGatlas-gene-1286 "modulator of [[protein|6ED386D49F973C1F6B1076974F54275DD583C9D3]] activity, similar to 5-oxo-1,2,5-tricarboxilic-3-penten acid decarboxylase"
BSGatlas-gene-126 "modulator of [[protein|908DB17A39D518E84977250C55825E77FA02E391]]-dependent repression, [[protein|CA0939064E70A97434FA450A69E779FD89880613]] activates kinase activity of [[protein|7B1B664A1AE1F641E8E7D9E2894D5C8FFFA92948]]"
BSGatlas-gene-1190 "modulator of [[protein|9A54C82323BA9220CAA6041E3745FAB9E222FE78]] activity"
BSGatlas-gene-2857 "modulator of lipid biosynthesis"
BSGatlas-gene-2316 "modulator of MreB activity"
BSGatlas-gene-2248 "molecular chaperone involved in protein secretion"
BSGatlas-gene-733 "molybdenum cofactor biosynthesis protein"
BSGatlas-gene-1696 "molybdopterin biosynthesis protein"
BSGatlas-gene-1697 "molybdopterin molybdenumtransferase"
BSGatlas-gene-4280 "molybdopterin precursor biosynthesis"
BSGatlas-gene-3451 "molybdopterin precursor biosynthesis"
BSGatlas-gene-1699 "molybdopterin synthase (large subunit), catalyses the transfer of sulfide from MoaD thiocarboxylate"
BSGatlas-gene-1700 "molybdopterin synthase (small subunit)"
BSGatlas-gene-1698 "molybdopterin-guanine dinucleotide biosynthesis"
BSGatlas-gene-1695 "molybdopterin-guanine dinucleotide biosynthesis"
BSGatlas-gene-3437 "monooxygenase, required for the conversion of S-methyl-cysteine to cysteine"
BSGatlas-gene-3269 "morphogenetic protein associated with [[protein|6698BB092E03BEF48AFD0CBF565410109CD1ABB5]], major organizer of the inner spore coat"
BSGatlas-gene-1305 "mother cell-specific [SW|sporulation] protein, similar to 2-phosphosulfolactate phosphatase"
BSGatlas-gene-3110 "mother cell-specific sporulation protein"
BSGatlas-gene-1795 "mother-cell specific penicillin-binding protein (spore cortex)"
BSGatlas-gene-4129 "motility regulator, binds to the [[gene|E0BB77C8F1220E931D16A1FA6B75AE8907C76FDB]] mRNA to inhibit its translation, promotes the base pairing between the [[gene|FC93BA60BD185DE5EF31D5605F0B8294EC2E8E5A]] RNA and the [[gene|62F8E0D6BC9DA6390256FA8FB684EA5C9C722AE4]] mRNA"
BSGatlas-gene-3289 "MreC is a cell shape determining protein, it couples the cytosolic MreB and MreB-like proteins to the extracellular peptidoglycan-synthesizing machinery"
BSGatlas-gene-3288 "MreD is a cell shape determining protein, it couples the cytosolic MreB and MreB-like proteins to the extracellular peptidoglycan-synthesizing machinery"
BSGatlas-gene-1174 "multidrug [SW|ABC transporter ](ATP-binding protein), also involved in the signalling pathway to activate [[protein|KinA ]]at the onset of [SW|sporulation]"
BSGatlas-gene-1175 "multidrug [SW|ABC transporter ](ATP-binding protein), also involved in the signalling pathway to activate [[protein|KinA ]]at the onset of [SW|sporulation]"
BSGatlas-gene-4069 "multidrug [SW|ABC transporter] (ATP-binding protein)"
BSGatlas-gene-2028 "multidrug efflux transporter"
BSGatlas-gene-2027 "multidrug efflux transporter"
BSGatlas-gene-3858 "multidrug-efflux transporter"
BSGatlas-gene-386 "multidrug-efflux transporter (puromycin, nerfloxacin, tosufloxacin)"
BSGatlas-gene-1987 "multifunctional protein involved in homologous recombination and DNA repair ([[protein|D267AF38B0CF107042326E9B8F3DD3C9C85840E4]]-autocleavage), required to internalize and to recombine ssDNA with homologous resident duplex, required for efficient survival and replication restart after replication-transcription conflicts"
BSGatlas-gene-4740 "multifunctional tetracycline/Na<sup>+</sup> resistance protein"
BSGatlas-gene-4509 "multiple sugar [SW|ABC transporter ](ATP-binding protein)"
BSGatlas-gene-3248 "MurJ family lipid II flippase, spore cortex peptidoglycan synthesis"
BSGatlas-gene-3664 "mutarotase involved in rhamnose utilization"
BSGatlas-gene-231 "N-acetyl muramic acid permease of the [SW|phosphotransferase systems|phosphotransferase system], EIIBC of the [[category|SW 1.2.2|PTS]]"
BSGatlas-gene-4592 "N-acetyl S-(2-succino)cysteine oxygenase"
BSGatlas-gene-1688 "N-acetyl-diaminopimelate deacetylase"
BSGatlas-gene-1332 "N-acetyl-g-glutamyl-phosphate reductase"
BSGatlas-gene-1666 "N-acetyl-L,L-diaminopimelate aminotransferase"
BSGatlas-gene-233 "N-acetyl-muramic acid-6P etherase (cleaves lactate from N-acetylmuramic acid)"
BSGatlas-gene-4587 "N-acetylcysteine deacetylase"
BSGatlas-gene-4088 "N-acetylglucosamine-6-phosphate deacetylase"
BSGatlas-gene-2645 "N-acetylglucosamine-malate deacetylase, involved in bacillithiol synthesis (major enzyme)"
BSGatlas-gene-2296 "N-acetylglucosamine-malate deacetylase, minor enzyme involved in bacillithiol synthesis, may act as amidase for the processing of BSH conjugates"
BSGatlas-gene-939 "N-acetylglucosamine-specific [SW|phosphotransferase system], EIICB of the [[category|SW 1.2.2|PTS]]"
BSGatlas-gene-229 N-acetylglucosaminidase
BSGatlas-gene-1334 "N-acetylglutamate 5-phosphotransferase"
BSGatlas-gene-1333 "N-acetylglutamate synthase"
BSGatlas-gene-966 "N-acetylmuramic acid deacetylase, spore cortex peptidoglycan synthesis"
BSGatlas-gene-2041 "N-acetylmuramoyl-L-alanine amidase"
BSGatlas-gene-1482 "N-acetylmuramoyl-L-alanine amidase"
BSGatlas-gene-2516 "N-acetylmuramoyl-L-alanine amidase"
BSGatlas-gene-3029 "N-acetylmuramoyl-L-alanine amidase"
BSGatlas-gene-3009 "N-acetylmuramoyl-L-alanine amidase"
BSGatlas-gene-4158 "N-acetylmuramoyl-L-alanine amidase, required for flagellar function"
BSGatlas-gene-1523 "N-acetylmuramoyl-L-alanine amidase, required for the formation of membrane vesicles in a sub-population of cells"
BSGatlas-gene-201 "N-acetylmuramoyl-L-alanine amidase, spore cortex peptidoglycan synthesis"
BSGatlas-gene-230 "N-acetylmuramyl-L-alanine amidase"
BSGatlas-gene-4385 "N-amidotransferase, transfers lipoic acid from lipoyl-[[protein|58CF62EBA28E77668A0B5319142C8AC20D81CD8A]] to [[protein|C4B6C3EE560C8BD353FEABB1A607C89C20DC8D34]], [[protein|262C9FD20C7A70B6F1FEB57735FA800F38EAB25A]], [[protein|02BA02D10DFB06E51101D8CF76BCF5BED94D7CA2]], and [[protein|2F40086E35FA32136B9A89C530A86D714FE9460C]], and from lipoyl-[[protein|02BA02D10DFB06E51101D8CF76BCF5BED94D7CA2]] to [[protein|262C9FD20C7A70B6F1FEB57735FA800F38EAB25A]] and [[protein|2F40086E35FA32136B9A89C530A86D714FE9460C]]"
BSGatlas-gene-1816 "N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase, thiamine salvage pathway"
BSGatlas-gene-1726 "N-formylcysteine deformylase, required for the conversion of S-methyl-cysteine to cysteine"
BSGatlas-gene-2231 "N-terminal fragment of the Y family DNA polymerase [[protein|A04F698C8836E84991BC875BCB7B1460D8E74A8E]]-[[protein|ED0A85A8A5FCD12C99507EB033F88586521A7C47]]"
BSGatlas-gene-1170 "Na /H  antiporter"
BSGatlas-gene-3483 "Na+-coupled [[protein|3D42584D65D80A1C73F057714647E29FF6BBD58A]]-[[protein|MotS ]]flagellar stator"
BSGatlas-gene-351 "Na<sup>+</sup> [SW|ABC transporter ](export) (ATP-binding protein)"
BSGatlas-gene-352 "Na<sup>+</sup> [SW|ABC transporter] (export) (ATP-binding protein)"
BSGatlas-gene-3712 "Na<sup>+</sup> transporter subunit of the Na<sup>+</sup>/H<sup>+</sup> antiporter, multiple resistance and pH homeostasis"
BSGatlas-gene-3484 "Na<sup>+</sup>-coupled [[protein|3D42584D65D80A1C73F057714647E29FF6BBD58A]]-[[protein|MotS ]]flagellar stator"
BSGatlas-gene-3717 "Na<sup>+</sup>/H<sup>+</sup> antiporter subunit, multiple resistance and pH homeostasis"
BSGatlas-gene-3713 "Na<sup>+</sup>/H<sup>+</sup> antiporter subunit, multiple resistance and pH homeostasis"
BSGatlas-gene-3718 "Na<sup>+</sup>/H<sup>+</sup> antiporter subunit, multiple resistance and pH homeostasis"
BSGatlas-gene-3716 "Na<sup>+</sup>/H<sup>+</sup> antiporter subunit, multiple resistance and pH homeostasis"
BSGatlas-gene-3714 "Na<sup>+</sup>/H<sup>+</sup> antiporter subunit, multiple resistance and pH homeostasis"
BSGatlas-gene-3710 "Na<sup>+</sup>/malate symporter"
BSGatlas-gene-1383 "NAD kinase"
BSGatlas-gene-1263 "NAD-dependent glucose-6-phosphate dehydrogenase"
BSGatlas-gene-951 "NAD(P)H-flavin nitroreductase"
BSGatlas-gene-1465 "NADH dehydrogenase (Menaquinone 7 & no proton)"
BSGatlas-gene-253 "NADH dehydrogenase (subunit 5)"
BSGatlas-gene-2305 "NADH oxidase"
BSGatlas-gene-2805 "NADP-dependent phosphogluconate dehydrogenase"
BSGatlas-gene-319 "NADP<sup>+</sup>-dependent alpha-ketoglutaric semialdehyde dehydrogenase"
BSGatlas-gene-2776 "NADPH-dependent 4-Hydroxy-2,3-trans-nonenal reductase"
BSGatlas-gene-2798 "NADPH-dependent flavin oxidoreductase"
BSGatlas-gene-474 "NADPH-FMN oxidoreductase, delivers reduced FMN to enzymes that require the reduced cofactor for activity"
BSGatlas-gene-408 "NADPH:ferredoxin oxidoreductase"
BSGatlas-gene-3595 "naphthoate synthase"
BSGatlas-gene-455 "negative effector (D protein) of the [[protein|EDB2F4C132211F01654F2A2ED3D220EC15CE6F22]]-[[protein|D1AFCB1BE693AB6B8461B7764B6641E6EB1404FA]]-[[protein|D5D4E1E182F972BEF6BB432A7FF25EF45F1F0D95]] germinant receptor"
BSGatlas-gene-66 "negative effector of [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]] activity"
BSGatlas-gene-4689 "negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]], controls cell wall metabolism"
BSGatlas-gene-4688 "negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]], controls cell wall metabolism"
BSGatlas-gene-3305 "negative effector of the concentration of [[protein|B1413EB525000744BE8E429E760220A13BC4530D]]"
BSGatlas-gene-4495 "negative regulation of [[protein|801E92306971E26AD4AB155172B7F4EFDE2F9170]]-directed transcription of the [[gene|801E92306971E26AD4AB155172B7F4EFDE2F9170]] operon"
BSGatlas-gene-202 "negative regulator of [[gene|F7FD94CE7AB290FBFD3A9B88F204961668F9B42C]] expression, activator of [[protein|6100EA37592A2C31BC3DE79AD7948A8D6F65F6E1]] kinase activity"
BSGatlas-gene-3467 "negative regulator of [[protein|FtsZ ]]ring formation"
BSGatlas-gene-4445 "negative regulator of the [SW|fla-che operon], anti-repressor, antagonist [[protein|5A6FBAE6553343092862CB79E150F934978C32A9]] for the repression of the [[gene|F6C4634BF871D9A01E27014FFED7527C54BF560D]][[gene|52A47B49B1FB955EE7E3C316B57A2B4134F78480]] and [[gene|8C13E1EF5437DD8F9906643DEDCBB18DABE3B9E3]]-[[gene|09B082BF39703F0D9A5980E643175DBD59F5B228]]-[[gene|BF97457E986656E4A9FE7A858F5BDF1759850D5C]] operons"
BSGatlas-gene-3400 "negative regulator of transcription of the ribonucleotide reductase <i>nrd </i>operon"
BSGatlas-gene-578 "new RNA feature, 3'UTR of cmpA"
BSGatlas-gene-3475 "new RNA feature, 3'UTR of rpsD"
BSGatlas-gene-3006 "new RNA feature, 3'UTR of sda"
BSGatlas-gene-4064 "new RNA feature, 3'UTR of trxB"
BSGatlas-gene-630 "new RNA feature, 3'UTR of ydeB"
BSGatlas-gene-2035 "new RNA feature, 3'UTR of ymzA"
BSGatlas-gene-2546 "new RNA feature, 3'UTR of yokC"
BSGatlas-gene-2448 "new RNA feature, 3'UTR of yopL"
BSGatlas-gene-3073 "new RNA feature, 3'UTR of yqaP"
BSGatlas-gene-3158 "new RNA feature, 3'UTR of yraH"
BSGatlas-gene-3099 "new RNA feature, 3'UTR of yrkL"
BSGatlas-gene-4368 "new RNA feature, 3'UTR of ywhD"
BSGatlas-gene-2094 "new RNA feature, 5' of S653"
BSGatlas-gene-778 "new RNA feature, 5'UTR of bdhA"
BSGatlas-gene-2 "new RNA feature, 5'UTR of dnaA"
BSGatlas-gene-1806 "new RNA feature, 5'UTR of ftsA"
BSGatlas-gene-4116 "new RNA feature, 5'UTR of ftsE"
BSGatlas-gene-1143 "new RNA feature, 5'UTR of lytE"
BSGatlas-gene-3592 "new RNA feature, 5'UTR of mntA"
BSGatlas-gene-1359 "new RNA feature, 5'UTR of oppA"
BSGatlas-gene-1663 "new RNA feature, 5'UTR of pbpH"
BSGatlas-gene-4321 "new RNA feature, 5'UTR of rho"
BSGatlas-gene-431 "new RNA feature, 5'UTR of srfAA"
BSGatlas-gene-2074 "new RNA feature, 5'UTR of thyA"
BSGatlas-gene-3344 "new RNA feature, 5'UTR of trxA"
BSGatlas-gene-324 "new RNA feature, 5'UTR of ycbJ"
BSGatlas-gene-760 "new RNA feature, 5'UTR of ydzW/7"
BSGatlas-gene-891 "new RNA feature, 5'UTR of yfnI"
BSGatlas-gene-2235 "new RNA feature, 5'UTR of yobI"
BSGatlas-gene-2549 "new RNA feature, 5'UTR of yokC"
BSGatlas-gene-2476 "new RNA feature, 5'UTR of yonK"
BSGatlas-gene-2279 "new RNA feature, 5'UTR of yozO"
BSGatlas-gene-3004 "new RNA feature, 5'UTR of yqeG"
BSGatlas-gene-3136 "new RNA feature, 5'UTR of yrdB"
BSGatlas-gene-3424 "new RNA feature, 5'UTR of ytsJ"
BSGatlas-gene-3513 "new RNA feature, 5'UTR of ytzE"
BSGatlas-gene-3771 "new RNA feature, 5'UTR of yuzG"
BSGatlas-gene-4122 "new RNA feature, 5'UTR of yvyD"
BSGatlas-gene-4169 "new RNA feature, 5'UTR of yvzI"
BSGatlas-gene-4656 "new RNA feature, 5'UTR of yyzE"
BSGatlas-gene-1647 "new RNA feature, 5'UTR of zosA"
BSGatlas-gene-4706 "new RNA feature, independent transcript"
BSGatlas-gene-1024 "new RNA feature, independent transcript"
BSGatlas-gene-1283 "new RNA feature, independent transcript"
BSGatlas-gene-2247 "new RNA feature, independent transcript"
BSGatlas-gene-1999 "new RNA feature, independent transcript"
BSGatlas-gene-3722 "new RNA feature, independent transcript"
BSGatlas-gene-4773 "new RNA feature, independent transcript"
BSGatlas-gene-3193 "new RNA feature, independent transcript"
BSGatlas-gene-4066 "new RNA feature, independent transcript"
BSGatlas-gene-1202 "new RNA feature, independent transcript"
BSGatlas-gene-3954 "new RNA feature, independent transcript"
BSGatlas-gene-2737 "new RNA feature, independent transcript"
BSGatlas-gene-3215 "new RNA feature, independent transcript"
BSGatlas-gene-3261 "new RNA feature, independent transcript"
BSGatlas-gene-3687 "new RNA feature, independent transcript"
BSGatlas-gene-2268 "new RNA feature, independent transcript"
BSGatlas-gene-4630 "new RNA feature, independent transcript"
BSGatlas-gene-959 "new RNA feature, independent transcript"
BSGatlas-gene-4668 "new RNA feature, independent transcript"
BSGatlas-gene-3743 "new RNA feature, independent transcript"
BSGatlas-gene-3474 "new RNA feature, independent transcript"
BSGatlas-gene-2113 "new RNA feature, independent transcript"
BSGatlas-gene-1810 "new RNA feature, independent transcript"
BSGatlas-gene-3007 "new RNA feature, independent transcript"
BSGatlas-gene-2990 "new RNA feature, independent transcript"
BSGatlas-gene-4335 "new RNA feature, independent transcript"
BSGatlas-gene-2070 "new RNA feature, independent transcript"
BSGatlas-gene-633 "new RNA feature, independent transcript"
BSGatlas-gene-1227 "new RNA feature, independent transcript"
BSGatlas-gene-2215 "new RNA feature, independent transcript"
BSGatlas-gene-3422 "new RNA feature, independent transcript"
BSGatlas-gene-3030 "new RNA feature, independent transcript"
BSGatlas-gene-881 "new RNA feature, independent transcript"
BSGatlas-gene-4528 "new RNA feature, independent transcript"
BSGatlas-gene-2105 "new RNA feature, independent transcript"
BSGatlas-gene-2667 "new RNA feature, independent transcript"
BSGatlas-gene-3188 "new RNA feature, independent transcript"
BSGatlas-gene-1185 "new RNA feature, independent transcript"
BSGatlas-gene-2471 "new RNA feature, independent transcript"
BSGatlas-gene-566 "new RNA feature, independent transcript"
BSGatlas-gene-984 "new RNA feature, independent transcript"
BSGatlas-gene-108 "new RNA feature, independent transcript"
BSGatlas-gene-3361 "new RNA feature, independent transcript"
BSGatlas-gene-4396 "new RNA feature, independent transcript"
BSGatlas-gene-2447 "new RNA feature, independent transcript"
BSGatlas-gene-2636 "new RNA feature, independent transcript"
BSGatlas-gene-3909 "new RNA feature, independent transcript"
BSGatlas-gene-3778 "new RNA feature, independent transcript"
BSGatlas-gene-3678 "new RNA feature, independent transcript"
BSGatlas-gene-403 "new RNA feature, independent transcript"
BSGatlas-gene-68 "new RNA feature, independent transcript"
BSGatlas-gene-4523 "new RNA feature, independent transcript"
BSGatlas-gene-2077 "new RNA feature, independent transcript"
BSGatlas-gene-3052 "new RNA feature, independent transcript"
BSGatlas-gene-3049 "new RNA feature, independent transcript"
BSGatlas-gene-3143 "new RNA feature, independent transcript"
BSGatlas-gene-1792 "new RNA feature, independent transcript"
BSGatlas-gene-4210 "new RNA feature, independent transcript"
BSGatlas-gene-284 "new RNA feature, independent transcript"
BSGatlas-gene-2570 "new RNA feature, independent transcript"
BSGatlas-gene-1076 "new RNA feature, independent transcript"
BSGatlas-gene-755 "new RNA feature, independent transcript"
BSGatlas-gene-530 "new RNA feature, independent transcript"
BSGatlas-gene-2099 "new RNA feature, independent transcript"
BSGatlas-gene-4376 "new RNA feature, independent transcript"
BSGatlas-gene-2579 "new RNA feature, independent transcript"
BSGatlas-gene-1139 "new RNA feature, independent transcript"
BSGatlas-gene-2705 "new RNA feature, independent transcript"
BSGatlas-gene-3949 "new RNA feature, independent transcript"
BSGatlas-gene-19 "new RNA feature, independent transcript"
BSGatlas-gene-4499 "new RNA feature, independent transcript"
BSGatlas-gene-2595 "new RNA feature, independent transcript"
BSGatlas-gene-1377 "new RNA feature, independent transcript"
BSGatlas-gene-1211 "new RNA feature, independent transcript"
BSGatlas-gene-4094 "new RNA feature, independent transcript"
BSGatlas-gene-22 "new RNA feature, independent transcript"
BSGatlas-gene-3740 "new RNA feature, independent transcript"
